image_id,source_url,download_url,license,author,country,region,city,capture_context,damage_labels,split,license_ok,privacy_checked,notes
commons_58007956,"https://commons.wikimedia.org/wiki/File:R-187,_100000,_Kazakhstan_-_panoramio.jpg",https://upload.wikimedia.org/wikipedia/commons/3/31/R-187%2C_100000%2C_Kazakhstan_-_panoramio.jpg,CC-BY-3.0,Маргарита москалюк,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,"Collected from Category:Roads in Kazakhstan Commons title: File:R-187, 100000, Kazakhstan - panoramio.jpg MIME: image/jpeg Privacy review still required before publication."
commons_59917085,"https://commons.wikimedia.org/wiki/File:R-191,_Shakhan_100000,_Kazakhstan_-_panoramio.jpg",https://upload.wikimedia.org/wikipedia/commons/1/1c/R-191%2C_Shakhan_100000%2C_Kazakhstan_-_panoramio.jpg,CC-BY-3.0,Маргарита москалюк,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,"Collected from Category:Roads in Kazakhstan Commons title: File:R-191, Shakhan 100000, Kazakhstan - panoramio.jpg MIME: image/jpeg Privacy review still required before publication."
commons_115848197,https://commons.wikimedia.org/wiki/File:Road_22_Img1.png,https://upload.wikimedia.org/wikipedia/commons/7/70/Road_22_Img1.png,CC-BY-SA-4.0,Trapanozzi,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Road 22 Img1.png MIME: image/png Privacy review still required before publication. Triage warning: likely non-photo or map/diagram asset.
commons_115848345,https://commons.wikimedia.org/wiki/File:Road_22_Img2.png,https://upload.wikimedia.org/wikipedia/commons/a/a7/Road_22_Img2.png,CC-BY-SA-4.0,Trapanozzi,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Road 22 Img2.png MIME: image/png Privacy review still required before publication. Triage warning: likely non-photo or map/diagram asset.
commons_134350109,https://commons.wikimedia.org/wiki/File:Road_to_Big_Almaty_Lake.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Road_to_Big_Almaty_Lake.jpg,CC-BY-SA-4.0,Amarkiev,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Road to Big Almaty Lake.jpg MIME: image/jpeg Privacy review still required before publication.
commons_28515257,https://commons.wikimedia.org/wiki/File:Shymbulak_Valley_-_road_-_CIMG8504.JPG,https://upload.wikimedia.org/wikipedia/commons/4/43/Shymbulak_Valley_-_road_-_CIMG8504.JPG,CC-BY-SA-3.0,User:Vmenkov,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Shymbulak Valley - road - CIMG8504.JPG MIME: image/jpeg Privacy review still required before publication.
commons_63241254,https://commons.wikimedia.org/wiki/File:Steppes_on_Baikonur_Cosmodrome.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/Steppes_on_Baikonur_Cosmodrome.jpg,CC-BY-4.0,Ninaras,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Steppes on Baikonur Cosmodrome.jpg MIME: image/jpeg Privacy review still required before publication.
commons_31372848,https://commons.wikimedia.org/wiki/File:Syr_Darya_Oblast._Aulie-Ata._Postal_Road_WDL10904.png,https://upload.wikimedia.org/wikipedia/commons/8/82/Syr_Darya_Oblast._Aulie-Ata._Postal_Road_WDL10904.png,PDM,"Kun, Aleksandr L., 1840-1888",Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Syr Darya Oblast. Aulie-Ata. Postal Road WDL10904.png MIME: image/png Privacy review still required before publication. Triage warning: likely non-photo or map/diagram asset.
commons_6028199,https://commons.wikimedia.org/wiki/File:Taskala_Main_Street.JPG,https://upload.wikimedia.org/wikipedia/commons/5/52/Taskala_Main_Street.JPG,PDM,Hakim Mendybay,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Taskala Main Street.JPG MIME: image/jpeg Privacy review still required before publication.
commons_18291031,https://commons.wikimedia.org/wiki/File:Temirtau_road_at_night.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7b/Temirtau_road_at_night.jpg,CC-BY-SA-3.0,Mxt07t,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,val,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Temirtau road at night.jpg MIME: image/jpeg Privacy review still required before publication. Triage include by codex_visual_v2. Triage notes: Codex visual review 2026-05-04: paved residential road at night; no target damage visible; no identifiable people or plates.
commons_32378656,https://commons.wikimedia.org/wiki/File:The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_(6886118102).jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_%286886118102%29.jpg,CC-BY-2.0,Land Rover MENA,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:The Journey of Discovery - From Kazakhstan to Uzbekistan (6886118102).jpg MIME: image/jpeg Privacy review still required before publication.
commons_32378658,https://commons.wikimedia.org/wiki/File:The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_(7032214231).jpg,https://upload.wikimedia.org/wikipedia/commons/c/cc/The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_%287032214231%29.jpg,CC-BY-2.0,Land Rover MENA,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:The Journey of Discovery - From Kazakhstan to Uzbekistan (7032214231).jpg MIME: image/jpeg Privacy review still required before publication.
commons_32378655,https://commons.wikimedia.org/wiki/File:The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_(7032216327).jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_%287032216327%29.jpg,CC-BY-2.0,Land Rover MENA,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:The Journey of Discovery - From Kazakhstan to Uzbekistan (7032216327).jpg MIME: image/jpeg Privacy review still required before publication.
commons_32378654,https://commons.wikimedia.org/wiki/File:The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_(7032216873).jpg,https://upload.wikimedia.org/wikipedia/commons/5/59/The_Journey_of_Discovery_-_From_Kazakhstan_to_Uzbekistan_%287032216873%29.jpg,CC-BY-2.0,Land Rover MENA,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:The Journey of Discovery - From Kazakhstan to Uzbekistan (7032216873).jpg MIME: image/jpeg Privacy review still required before publication.
commons_59460283,"https://commons.wikimedia.org/wiki/File:Tulkibas,_Kazakhstan_-_panoramio_(6).jpg",https://upload.wikimedia.org/wikipedia/commons/f/fb/Tulkibas%2C_Kazakhstan_-_panoramio_%286%29.jpg,CC-BY-3.0,Elias Shahidi,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,"Collected from Category:Roads in Kazakhstan Commons title: File:Tulkibas, Kazakhstan - panoramio (6).jpg MIME: image/jpeg Privacy review still required before publication."
commons_56296393,"https://commons.wikimedia.org/wiki/File:Unnamed_Road,_070000,_Kazakhstan_-_panoramio_(9).jpg",https://upload.wikimedia.org/wikipedia/commons/3/3c/Unnamed_Road%2C_070000%2C_Kazakhstan_-_panoramio_%289%29.jpg,CC-BY-3.0,Михаил Сычёв,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,"Collected from Category:Roads in Kazakhstan Commons title: File:Unnamed Road, 070000, Kazakhstan - panoramio (9).jpg MIME: image/jpeg Privacy review still required before publication."
commons_52953376,"https://commons.wikimedia.org/wiki/File:Unnamed_Road,_Kazakhstan_-_panoramio_-_Anton_Yefimov_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/d/d5/Unnamed_Road%2C_Kazakhstan_-_panoramio_-_Anton_Yefimov_%281%29.jpg,CC-BY-3.0,Anton Yefimov,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,"Collected from Category:Roads in Kazakhstan Commons title: File:Unnamed Road, Kazakhstan - panoramio - Anton Yefimov (1).jpg MIME: image/jpeg Privacy review still required before publication. Triage include by codex_visual_v2. Triage notes: Codex visual review 2026-05-04: paved highway surface visible in foreground; no target damage; no privacy identifiers."
commons_52953386,"https://commons.wikimedia.org/wiki/File:Unnamed_Road,_Kazakhstan_-_panoramio_-_Anton_Yefimov_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/8/83/Unnamed_Road%2C_Kazakhstan_-_panoramio_-_Anton_Yefimov_%282%29.jpg,CC-BY-3.0,Anton Yefimov,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,"Collected from Category:Roads in Kazakhstan Commons title: File:Unnamed Road, Kazakhstan - panoramio - Anton Yefimov (2).jpg MIME: image/jpeg Privacy review still required before publication."
commons_55293844,"https://commons.wikimedia.org/wiki/File:Unnamed_Road,_%D0%9F%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B5_070000,_Kazakhstan_-_panoramio_(1).jpg",https://upload.wikimedia.org/wikipedia/commons/9/98/Unnamed_Road%2C_%D0%9F%D0%BE%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%BD%D0%BE%D0%B5_070000%2C_Kazakhstan_-_panoramio_%281%29.jpg,CC-BY-3.0,Михаил Сычёв,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,"Collected from Category:Roads in Kazakhstan Commons title: File:Unnamed Road, Поперечное 070000, Kazakhstan - panoramio (1).jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Snow-covered road context; road surface visible but no target pavement damage can be annotated at review resolution."
commons_107737253,https://commons.wikimedia.org/wiki/File:Welcome_to_Kulan.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a6/Welcome_to_Kulan.jpg,CC-BY-3.0,Patriot,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Welcome to Kulan.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792496,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP1916.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Wikiwyprawa_2015_IGP1916.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP1916.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792529,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP1950.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e5/Wikiwyprawa_2015_IGP1950.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP1950.jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Paved road surface visible; no target road damage visible and no identifiable people/plates at review resolution.
commons_44792911,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2056.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Wikiwyprawa_2015_IGP2056.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,train,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2056.jpg MIME: image/jpeg Privacy review still required before publication. Triage include by Codex. Triage notes: Paved road surface visible; no target road damage visible and no identifiable people/plates at review resolution.
commons_44792920,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2057.jpg,https://upload.wikimedia.org/wikipedia/commons/4/41/Wikiwyprawa_2015_IGP2057.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2057.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792927,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2058.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d7/Wikiwyprawa_2015_IGP2058.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2058.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792933,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2059.jpg,https://upload.wikimedia.org/wikipedia/commons/2/25/Wikiwyprawa_2015_IGP2059.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2059.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792936,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2060.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3e/Wikiwyprawa_2015_IGP2060.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2060.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792939,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2061.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/Wikiwyprawa_2015_IGP2061.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2061.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44792949,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2075.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c3/Wikiwyprawa_2015_IGP2075.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,normal,kz-test,true,true,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2075.jpg MIME: image/jpeg Privacy review still required before publication. Triage include by privacy_scan_v1. Triage notes: CLIP prioritized road surface; visual review confirms paved road with visible longitudinal pavement distress/treatment and no identifiable people/plates. Privacy identifiers blurred in derivative local file; use blurred derivative for export. LLM gold annotation review 2026-05-05: no reliable target pavement damage; tire/rubber marks not annotated.
commons_44793005,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2094.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Wikiwyprawa_2015_IGP2094.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2094.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793016,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2097.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0a/Wikiwyprawa_2015_IGP2097.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2097.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793031,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2098.jpg,https://upload.wikimedia.org/wikipedia/commons/1/16/Wikiwyprawa_2015_IGP2098.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2098.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793078,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2142.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/Wikiwyprawa_2015_IGP2142.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2142.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793085,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2144.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6d/Wikiwyprawa_2015_IGP2144.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2144.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793088,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2145.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Wikiwyprawa_2015_IGP2145.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2145.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793733,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2150.jpg,https://upload.wikimedia.org/wikipedia/commons/0/05/Wikiwyprawa_2015_IGP2150.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2150.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793751,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2160.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7f/Wikiwyprawa_2015_IGP2160.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2160.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793790,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2182.jpg,https://upload.wikimedia.org/wikipedia/commons/0/02/Wikiwyprawa_2015_IGP2182.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2182.jpg MIME: image/jpeg Privacy review still required before publication.
commons_44793797,https://commons.wikimedia.org/wiki/File:Wikiwyprawa_2015_IGP2183.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a1/Wikiwyprawa_2015_IGP2183.jpg,CC-BY-SA-3.0,JacDys,Kazakhstan,,,wikimedia-commons:Roads in Kazakhstan,unknown,,true,false,Collected from Category:Roads in Kazakhstan Commons title: File:Wikiwyprawa 2015 IGP2183.jpg MIME: image/jpeg Privacy review still required before publication.
lead_wikimedia_quality_roads_kz,https://commons.wikimedia.org/wiki/Category:Quality_images_of_roads_in_Kazakhstan,,,,Kazakhstan,,,open-license-candidate,unknown,,false,false,Discovery lead from Wikimedia Commons Quality images of roads in Kazakhstan; verify per-image license before use.
lead_wikimedia_streets_kz,https://commons.wikimedia.org/wiki/Category:Streets_in_Kazakhstan,,,,Kazakhstan,,,open-license-candidate,unknown,,false,false,Discovery lead from Wikimedia Commons Streets in Kazakhstan; verify per-image license before use.
